Case_IDs,BSN-AS1,RHBG,RP11-524L6.4,CDKN2B,CTD-2066L21.3,CTA-212A2.3,MAGI1-IT1,PSMD4,RP3-324O17.8,EIF4E3,SORBS2,CTD-2154B17.3,RP11-708J19.3,GBAP1,CADPS,SNORA72,ERVFRD-3,DAB2,AC112219.1,NUP210L,ERC2-IT1,INTS6P1,APOL2,MTX1,TPMTP2,CDKN2B-AS1,GBE1,CTD-2154B17.1,RNU4-78P,INTS3,PRIMPOL,MYLKP1,RNU6-1309P,RP1-251I12.1,SUCLG2-AS1,RP11-169K17.2,IZUMO3,APOL6,RP11-216N14.7,DNAH12
TCGA-MP-A4T8-10A,0.0075,0.0044,0.0028,0.0145,0.0019,0.0007,0.0048,0.0044,-1.1128,0.0004,0.008,0.0065,0.0075,0.0044,0.0048,0.0081,0.0145,0.0019,0.0004,0.0044,0.0037,0.0019,0.0007,0.0044,0.0075,0.0145,0.0004,0.0065,0.0075,0.0044,0.008,0.0004,0.0044,0.0012,0.0048,0.0075,0.0128,0.0007,0.0044,0.0037
TCGA-55-6642-11A,0.0002,0.0133,0.014,0.0086,0.0147,0.0043,0.0069,0.0124,0.0057,0.0008,0.0146,0.011,0.0002,0.0133,0.0069,0.0089,0.0086,0.0147,0.0008,0.0133,0.0069,0.0147,0.0043,0.0133,0.0002,0.0086,0.0053,0.011,0.0002,0.0133,0.0146,0.0008,0.0124,0.0147,0.0069,0.0002,0.0009,0.0043,0.0133,0.0069
TCGA-56-7223-10A,-0.0121,0.0082,-0.0109,-0.0057,0.0436,0.04,-0.0081,0.0303,0.0256,-0.0081,0.022,0.0375,-0.0121,0.0082,-0.0081,0.0129,-0.0057,0.0436,-0.0081,0.0082,-0.0121,0.0436,0.04,0.0082,-0.0121,-0.0057,-0.0081,0.0375,-0.0121,0.0082,0.022,-0.0081,0.0303,0.0375,-0.0081,-0.0104,-0.0057,0.04,0.0082,-0.0121
TCGA-91-A4BD-01A,0.0239,0.016,0.3604,0.0186,0.36,0.0118,0.0239,0.0296,0.011,0.0239,0.0334,0.3642,0.0239,0.016,0.0239,0.0559,0.0186,0.3638,0.0239,0.016,0.0239,0.3638,0.0118,0.016,0.0235,0.0186,0.0239,0.3642,0.0235,0.016,0.0334,0.0239,0.0296,0.3642,0.0239,0.0296,0.0195,0.0118,0.016,0.0239
TCGA-50-5942-10A,0.0226,0.0195,0.0222,0.0218,0.019,0.0149,0.0226,0.0183,0.0146,0.0196,0.0264,0.0076,0.0226,0.0195,0.0226,0.0179,0.0218,0.019,0.0196,0.0195,0.0226,0.019,0.0149,0.0195,0.0189,0.0218,0.0196,0.0076,0.0189,0.0195,0.0264,0.0196,0.0183,0.0133,0.0226,0.0189,0.0218,0.0149,0.0195,0.0226
TCGA-21-5783-01A,-0.292,0.0304,-0.0354,-0.3688,1.2625,-0.2012,-0.3825,0.0185,0.2081,-0.3949,-0.0683,1.3155,-0.292,0.0304,-0.3825,0.79,-0.3688,1.2788,-0.3949,0.0304,-0.3503,1.2187,-0.2012,0.0304,-0.3937,-0.3688,-0.4076,1.3155,-0.3937,0.0304,0.023,-0.3949,0.0185,1.2934,-0.3825,-0.3494,-0.4093,-0.2012,0.0304,-0.3503
TCGA-49-4488-01A,0.1945,0.66,0.2645,0.5862,0.6548,-0.4087,0.2046,0.5963,0.15,0.2055,-0.0652,0.6297,0.1945,0.66,0.2046,0.327,0.5862,0.6411,0.2055,0.66,0.1945,0.6164,-0.4087,0.66,0.1945,0.5862,0.2055,0.6297,0.1945,0.66,-0.0652,0.2055,0.5963,0.6473,0.2046,0.1926,-0.0932,-0.4087,0.66,0.1945
TCGA-49-AAR3-11A,0.0049,0.009,0.0087,0.0132,0.0055,0.0071,0.0109,0.009,0.0095,0.0077,0.0192,0.0085,0.0049,0.009,0.0109,0.006,0.0132,0.0069,0.0077,0.009,0.0049,0.0069,0.0071,0.009,0.0049,0.0132,0.0077,0.0085,0.0049,0.009,0.0192,0.0077,0.009,0.0085,0.0109,0.0038,0.0132,0.0071,0.009,0.0049
TCGA-50-5044-10A,0.0156,0.016,0.0056,0.0059,0.0071,0.0215,0.0019,0.0374,0.0169,0.0113,0.0072,0.0063,0.0156,0.016,0.0082,0.0128,0.0059,0.0071,0.0113,0.016,0.0156,0.0071,0.0215,0.016,0.0156,0.0059,0.0098,0.0063,0.0156,0.016,0.0072,0.0113,0.0374,0.0063,0.0019,0.012,0.0071,0.0215,0.016,0.0156
TCGA-49-AAR9-01A,-0.3137,0.4206,-0.6133,-0.585,0.4373,-0.6055,0.8256,0.4253,0.3077,0.0462,0.0334,0.4361,-0.3137,0.4206,-0.5666,0.022,-0.585,0.4373,0.0029,0.4206,-0.321,0.4373,-0.6055,0.4206,-0.3127,-0.585,0.0736,0.4361,-0.3127,0.4206,0.0334,0.0387,0.4253,0.4419,0.4568,0.5602,-0.5877,-0.6055,0.4206,-0.321
