Case_IDs,RNU7-136P,RP11-795A2.2,CCDC39,LINC00969,ARHGEF26,CPN2,CLDN11,IQCJ-SCHIP1,SERPINI1,AADACL2-AS1,ATP13A4,TP63,SOX2-OT,PTX3,C3orf33,UTS2B,RP11-496B10.3,DNAJB11,AGTR1,FRG2FP,PLD1,DHX36,RSRC1,MCCC1,VEZF1P1,RP11-368I23.2,TPRG1,MED12L,AC024560.3,RP11-513G11.3,NLGN1,TM4SF18,PARL,MUC20,TERC,B3GALNT1,RP11-362A9.3,MCF2L2,RP11-197K6.1,RP11-501O2.5
TCGA-MP-A4T8-10A,0.0071,0.0097,0.0097,0.4507,0.0071,0.0097,0.0097,0.0071,0.0097,0.0071,0.0097,0.0097,0.0097,0.0071,0.0071,0.0097,0.0097,0.0097,0.0071,0.0064,0.0097,0.0071,0.0071,0.0097,0.0097,0.0097,0.0097,0.0071,0.0064,0.0097,0.0097,0.0071,0.0097,0.4507,0.0097,0.0071,0.0071,0.0097,0.0097,0.0071
TCGA-55-6642-11A,0.0019,0.0019,0.0019,0.0019,0.0019,0.0019,0.0019,0.0019,0.0019,0.0019,0.0019,0.0019,0.0019,0.0019,0.0019,0.0019,0.0019,0.0019,0.0019,0.0019,0.0019,0.0019,0.0019,0.0019,0.0019,0.0019,0.0019,0.0019,0.0019,0.0019,0.0019,0.0019,0.0019,0.0019,0.0019,0.0019,0.0019,0.0019,0.0019,0.0019
TCGA-56-7223-10A,0.0343,0.0061,0.0595,0.0198,0.0343,0.0198,0.047,0.0343,0.0443,0.0343,0.0198,0.0153,0.0595,0.0343,0.0343,0.0153,0.0595,0.0061,0.0291,0.0198,0.4129,0.0343,0.0343,0.0595,0.0153,0.0443,0.0153,0.0343,0.0198,0.0198,0.053,0.0343,0.0061,0.0198,0.6397,0.0343,0.0343,0.0595,0.0153,0.0291
TCGA-91-A4BD-01A,0.0302,0.0278,0.0328,-2.3168,0.0302,0.0225,0.0328,0.0302,0.0328,0.0302,0.0225,0.0278,0.0328,0.0302,0.0302,0.0278,0.0328,0.0278,0.0302,0.0483,0.0328,0.0302,0.0302,0.0328,0.0278,0.0328,0.0278,0.0302,0.0483,0.0225,0.0328,0.0302,0.0328,0.0483,0.0328,0.0302,0.0302,0.0328,0.0278,0.0302
TCGA-50-5942-10A,0.0199,0.0179,0.0179,0.0113,0.0199,0.0113,0.0179,0.0199,0.0179,0.0199,0.0113,-0.9021,0.0179,0.0199,0.0199,0.0193,0.0179,0.0179,0.0199,0.0113,0.0179,0.0199,0.0199,0.0179,0.0193,0.0179,0.0179,0.0199,0.0113,0.0113,0.0179,0.0199,0.0179,0.0113,0.0179,0.0199,0.0199,0.0179,0.0193,0.0199
TCGA-21-5783-01A,0.2159,0.2575,0.1795,-0.443,0.2159,0.2657,0.2282,0.2159,0.1891,0.2159,0.2657,0.2575,0.1795,0.2159,0.2159,0.2201,0.1795,0.2575,0.2159,0.3059,0.3662,0.2159,0.2159,0.2575,0.2201,0.1891,0.2575,0.2159,-0.9596,0.2657,0.2398,0.2159,0.2575,-0.443,0.2282,0.2159,0.2159,0.2575,0.2201,0.2159
TCGA-49-4488-01A,-0.0082,0.3183,0.3183,-0.0042,-0.0082,0.357,0.327,-0.0082,0.327,-0.0082,0.357,0.3183,0.3183,-0.0082,-0.0082,0.3183,0.3183,0.3183,-0.0082,0.339,0.327,-0.0082,-0.0082,0.3183,0.3183,0.327,0.3183,-0.0082,0.3107,0.357,0.2979,-0.0082,0.3183,0.3107,0.327,-0.0082,-0.0082,0.3183,0.3183,-0.0082
TCGA-49-AAR3-11A,0.0109,0.0101,0.0101,-0.4203,0.0109,0.0125,0.0101,0.0109,0.0101,0.0109,0.0125,0.0101,0.0101,0.0109,0.0109,0.0101,0.0101,0.0101,0.0109,0.0279,0.0101,0.0109,0.0109,0.0101,0.0454,0.0101,0.0101,0.0109,0.0279,0.0125,0.0101,0.0109,0.0101,-0.0065,0.0101,0.0109,0.0109,0.0101,0.0101,0.0109
TCGA-50-5044-10A,0.0064,0.4047,0.0109,0.0177,0.0064,0.0177,0.0117,0.0064,0.0117,0.0064,0.0177,0.0177,0.0109,0.0064,0.0064,0.0177,0.0109,0.0109,0.0064,0.0177,0.0117,0.0064,0.0064,0.0109,0.0177,0.0117,0.0177,0.0064,0.0177,0.0177,0.0117,0.0064,0.0109,0.0177,0.0117,0.0064,0.0064,0.0109,0.0177,0.0064
TCGA-49-AAR9-01A,0.4644,0.4516,0.4516,0.456,0.4592,0.456,0.4587,0.4644,0.4566,0.4592,0.456,0.4542,0.4516,0.4644,0.4435,0.4542,0.4516,0.4516,0.4592,0.0197,0.4593,0.4592,0.4644,0.4516,0.4542,0.4566,0.4542,0.4592,0.4619,0.456,0.4974,0.4592,0.4516,1.002,0.4587,0.4644,0.4592,0.4516,0.4542,0.4592
TCGA-50-5051-01A,0.0278,0.0322,0.0322,0.5713,0.0278,0.0322,0.0322,0.0278,0.0322,0.0278,0.0322,0.0322,0.0322,0.0278,0.0278,0.0322,0.0322,0.0322,0.0278,0.0516,0.0322,0.0278,0.0278,0.0322,0.0322,0.0322,0.0322,0.0278,0.0516,0.0322,0.0322,0.0278,0.0322,0.0516,0.0322,0.0278,0.0278,0.0322,0.0322,0.0278
TCGA-44-2662-01B,0.0834,0.0563,0.0563,0.148,-0.0007,0.0254,0.0696,0.0834,0.0696,0.1834,0.0254,0.0706,0.0563,-0.0007,-0.0007,0.0706,0.0563,0.0563,0.105,0.148,0.0536,-0.0007,-0.0007,0.0563,1.5203,0.0696,-5.6885,0.105,0.148,0.0254,0.0536,0.105,0.0563,0.148,0.0696,0.0834,0.1834,0.0563,0.0706,0.0584
TCGA-J2-A4AG-01A,-0.064,-0.0748,-0.0748,0.6756,-0.0801,-0.0748,-0.0748,-0.064,-0.0748,-0.0801,-0.0748,-0.0748,-0.0748,-0.0801,-0.0801,-0.0748,-0.0748,-0.0748,-0.0801,-0.0973,-0.0748,-0.0801,-0.0801,-0.0748,-0.0748,-0.0748,-0.0748,-0.0801,-0.0973,-0.0748,-0.0748,-0.0801,-0.0748,-0.0748,-0.0748,-0.064,-0.0801,-0.0748,-0.0748,-0.0801
TCGA-56-A49D-01A,0.5861,0.5799,0.5799,0.139,0.5901,0.6074,0.6073,0.5861,0.6073,0.5901,0.6074,0.6131,0.5799,0.5861,0.5861,0.6131,0.5799,0.5799,0.5901,0.617,0.6073,0.5901,0.5861,0.5799,0.6131,0.6073,0.6284,0.5901,0.617,0.6074,0.6073,0.5901,0.5799,0.139,0.6073,0.5861,0.5901,0.5799,0.6131,0.5901
TCGA-22-4595-11A,0.0066,0.008,0.008,0.0266,0.0066,0.0266,0.0102,0.0066,0.0055,0.0066,0.0266,0.008,0.008,0.0066,0.0066,0.008,0.008,0.008,0.0066,0.0266,0.0102,0.0066,0.0066,0.008,0.008,0.0055,0.008,0.0066,0.0266,0.0266,0.0102,0.0066,0.008,0.0266,0.0102,0.0066,0.0066,0.008,0.008,0.0066
TCGA-37-4135-10A,0.0112,0.0177,0.0177,-0.351,0.0112,-0.0023,0.0177,0.0112,0.0177,0.0112,-0.0023,0.0177,0.0177,0.0112,0.0112,0.0177,0.0177,0.0177,0.0112,0.0658,0.0177,0.0112,0.0112,0.0177,0.0177,0.0177,0.0177,0.0112,0.0658,-0.0023,0.0177,0.0112,0.0177,-0.351,0.0177,0.0112,0.0112,0.0177,0.0177,0.0112
TCGA-77-A5G8-01B,0.7087,0.861,0.8612,0.2836,0.7087,0.7202,0.8609,0.7087,0.8609,0.7087,0.7202,0.7717,0.8612,0.7087,0.7087,0.7717,0.8612,0.8612,0.6607,0.3351,0.8609,0.7087,0.7087,0.8612,0.6152,0.8609,0.6684,0.7087,0.7427,0.7202,0.8609,0.6607,0.8612,0.2836,0.8609,0.7087,0.7087,0.8612,0.7717,0.6607
TCGA-L9-A443-10A,0.0031,0.0005,0.0005,0.3627,0.0031,-0.0102,0.0005,0.0031,0.0005,0.0031,-0.0102,0.0005,0.0005,0.0031,0.0031,0.0108,0.0005,0.0005,0.0031,0.0061,0.0005,0.0031,0.0031,0.0005,0.0108,0.0005,0.0005,0.0031,0.0061,-0.0102,0.0005,0.0031,0.0005,0.3627,0.0005,0.0031,0.0031,0.0005,0.0108,0.0031
TCGA-39-5011-11A,0.0197,0.021,0.021,0.021,0.0159,0.021,0.0304,0.0197,-0.0179,0.0159,0.021,0.021,0.021,0.0197,0.0197,0.021,0.021,0.021,0.0159,0.1032,0.0304,0.0159,0.0197,0.021,0.021,0.0381,0.021,0.0159,0.1032,0.021,0.0304,0.0159,0.021,0.021,0.0304,0.0197,0.0159,0.021,0.021,0.0159
